country_code,country_name,cluster,label,mean,std,growth,trend,mean_p1,mean_p2,mean_p3
HKG,"Hong Kong SAR, China",0,Emisi Rendah,25422.153000000002,14621.97980078954,40689.032,871.7070800492611,7832.519,26196.469,42237.471
HND,Honduras,0,Emisi Rendah,4103.297303042603,3183.236277033289,9603.944267028799,173.22187158459045,1254.114,2790.77785,8265.00005912781
HRV,Croatia,0,Emisi Rendah,18219.000033060714,2364.783802793626,-3819.999542236299,39.87763898974681,16537.0,20821.00012207032,17298.999977111824
HTI,Haiti,0,Emisi Rendah,1244.4927979337056,933.2289000559837,3033.9739332428003,49.37657876124488,416.9379,931.5405000000001,2384.999993801117
HUN,Hungary,0,Emisi Rendah,62909.318327929686,14442.368794030148,1008.2100681152006,-419.07648106859403,66896.71429999999,72151.74105,49679.49963378906
IDN,Indonesia,0,Emisi Rendah,208985.41691230473,170036.33707505662,598435.747855469,9460.825827722549,42750.6194,163871.62975,420334.0015869142
IND,India,0,Emisi Rendah,802812.5477612636,686295.2804041241,2335718.08782813,36609.838702948466,201872.20035,572586.4433,1633978.9996337905
IRL,Ireland,0,Emisi Rendah,30156.144837556967,10041.515814846227,24569.317,527.1601483928101,18747.904199999997,30771.53045,40948.999862670906
IRN,"Iran, Islamic Rep.",0,Emisi Rendah,272671.8795849284,191803.26951132435,592617.610765625,10636.80767003861,95568.43724999999,206051.70535,516395.49615478516
IRQ,Iraq,0,Emisi Rendah,68445.63987988283,43018.16742274521,166294.579558594,2337.593458823497,25856.567049999998,66243.8532,113236.49938964844
ISL,Iceland,0,Emisi Rendah,1823.7003469005585,320.1045743952818,426.22298569489,13.072590685064919,1515.2044,1907.89665,2047.9999907016766
ISR,Israel,0,Emisi Rendah,38122.031164713546,21735.909734700308,56181.4135258789,1217.4692426944637,14870.96845,34741.124800000005,64754.000244140625
ITA,Italy,0,Emisi Rendah,353925.10131022136,87129.1967221152,207882.716234375,3275.976952959265,267828.69585,394546.1104,399400.4976806641
JAM,Jamaica,0,Emisi Rendah,7160.554277974446,2478.6878104614166,6919.53334332275,97.84620061710295,5211.723749999999,7313.439,8956.50008392334
JOR,Jordan,0,Emisi Rendah,11204.860855086261,8366.129004813241,23885.5981607666,475.536079983847,1927.0085000000004,10327.57405,21360.00001525878
JPN,Japan,0,Emisi Rendah,954347.021200521,282277.6228210742,848788.7862890599,14202.879546547227,641589.3209999999,1037717.25725,1183734.485351563
KAZ,Kazakhstan,0,Emisi Rendah,192725.0002644857,43882.61177498515,-25139.999389648,1299.2547555823794,187523.0,168136.0004272461,222516.000366211
KEN,Kenya,0,Emisi Rendah,7222.644339827478,4661.236248924531,19852.4466866455,234.47482799423173,3573.1248,5691.30825,12403.499969482431
KGZ,Kyrgyz Republic,0,Emisi Rendah,8349.000054041546,4275.2172391001495,-12709.9998092651,-76.75416489835533,10053.0,5612.000049591064,9382.000112533575
KHM,Cambodia,0,Emisi Rendah,2446.6605314259855,3561.5332294962345,15945.3123051758,154.55898565526638,336.44725000000005,954.5343499999999,6048.999994277956
KIR,Kiribati,0,Emisi Rendah,35.93322038444422,20.446982408697522,82.6660035762787,0.9860213405925027,22.387999999999998,25.2344,59.50000013411045
MAR,Morocco,0,Emisi Rendah,27205.670171207683,19305.099053813876,67838.67235693359,1085.3004289962278,7710.05085,22910.959450000002,50996.00021362305
KOR,"Korea, Rep.",0,Emisi Rendah,287606.4942740235,213107.35054637605,598237.837027344,12122.524308089818,55326.77925,261973.70345,545519.0001220703
KWT,Kuwait,0,Emisi Rendah,42786.97988673909,25898.963681318102,84846.6255258789,1329.7583155444863,21715.05725,30512.382250000002,76133.50016021729
LAO,Lao PDR,0,Emisi Rendah,2135.827630847041,4536.220982968774,18629.3250844727,157.46199281762762,266.04085,442.44210000000004,5698.9999425411215
LBN,Lebanon,0,Emisi Rendah,11843.783187920128,7872.872073197116,25368.4327629395,429.1994731533823,4620.7867,9532.0629,21378.499963760383
LBR,Liberia,0,Emisi Rendah,854.6297495032946,481.5774957840209,1014.9849475479101,-1.7858049927249064,1046.9285,697.96075,818.9999985098841
LBY,Libya,0,Emisi Rendah,33552.18156525879,17469.582446046497,56106.9362370605,938.0632977862371,14146.36925,34324.67539999999,52185.50004577637
LCA,St. Lucia,0,Emisi Rendah,273.42586424274435,242.8579933765311,525.332021457672,11.955677398903592,56.47180000000001,218.8058,544.9999927282332
LDC,Least developed countries: UN classification,0,Emisi Rendah,111700.63295708198,84836.8660569979,324045.44629953307,4199.510990516969,50234.476087780014,72876.0806005888,211991.34218287715
LIE,Liechtenstein,0,Emisi Rendah,200.00000041723237,27.080128154853178,-49.999994039536006,-2.180200214115494,213.0,220.00000107288352,167.00000017881362
LKA,Sri Lanka,0,Emisi Rendah,7945.101659899901,6109.653064366214,21521.1286866455,315.92022533149606,3032.7923499999997,5199.5125,15603.000129699707
LSO,Lesotho,0,Emisi Rendah,482.999999721845,129.4900239630045,429.999980926514,14.102335833601481,366.0,432.9999991655348,650.0000000000001
LTU,Lithuania,0,Emisi Rendah,14038.666655222572,5473.192099033523,-20490.0004577637,-385.8553995423114,18589.0,11983.0000076294,11543.999958038321
LUX,Luxembourg,0,Emisi Rendah,10675.335220890302,1634.582532546684,-2028.04722888184,-49.079187643692876,12333.5878,9501.918000000001,10190.499862670902
LVA,Latvia,0,Emisi Rendah,8886.000011444092,2834.99864045144,-11209.99982833862,-214.97663769918216,11415.0,7675.999931335449,7567.000102996826
MAC,"Macao SAR, China",0,Emisi Rendah,901.4386666666668,616.4725411275203,2016.8500000000001,35.45115270935961,192.80700000000002,927.172,1584.337
MLT,Malta,0,Emisi Rendah,1610.2796756244663,836.248129627782,1318.9689666214,39.58519411835435,618.0728500000001,1926.2662,2286.4999768733983
MDA,Moldova,0,Emisi Rendah,10432.000052134195,5524.5888923499515,-21670.00034332275,-409.8464909978915,15512.0,7655.000017166136,8129.000139236448
MDG,Madagascar,0,Emisi Rendah,1444.9090333333331,829.9184458664465,3720.2968855590802,40.008920318011654,853.8609499999999,1164.86615,2315.999999999999
MDV,Maldives,0,Emisi Rendah,515.4232410054112,584.5626369404325,2106.3328950958303,37.21747218522561,30.940312500000005,276.91837529802325,1195.882341440987
MEX,Mexico,0,Emisi Rendah,291449.87483079435,137910.1928472482,386153.585013672,7788.160577114309,122629.06375,307101.06354999996,444619.4971923829
MHL,Marshall Islands,0,Emisi Rendah,127.50000116016159,30.192834812925053,100.000007152557,3.6042695533694014,92.22222222222223,128.88888772990944,158.00000429153397
MKD,North Macedonia,0,Emisi Rendah,8702.666698455809,703.4862192999553,-289.99980926514036,-35.5773036137837,8940.0,9052.999942779541,8115.000152587889
MLI,Mali,0,Emisi Rendah,1158.985345587262,1493.5825006094828,5708.98892370605,68.30453516016911,233.723,301.46995000000004,2895.4999694824223
MOZ,Mozambique,0,Emisi Rendah,2552.8053684150696,1590.787494869116,5615.162,33.96110178765935,2631.4392,1427.9769000000001,3599.000005245208
